0.02 24.591896593342 -1.380003128450 25.078859293342
0.04 11.364861971122 -1.377606519670 11.851824671122
0.06 6.958924875941 -1.373733204518 7.445887575941
0.08 4.759221236257 -1.368531639036 5.246183936257
0.10 3.442649382744 -1.362160369449 3.929612082744
0.12 2.568081623283 -1.354766046843 3.055044323283
0.14 1.946400581859 -1.346474172505 2.433363281859
0.16 1.483005138429 -1.337389929114 1.969967838429
0.18 1.125307152344 -1.327603714337 1.612269852344
0.20 0.841726655219 -1.317196850773 1.328689355219
0.22 0.612143135140 -1.306245257561 1.099105835140
0.24 0.423121595927 -1.294820869032 .910084295927
0.26 0.265342794923 -1.282991577331 .752305494923
0.28 0.132135407866 -1.270820599212 .619098107866
0.30 0.018595549704 -1.258365874222 .505558249704
0.32 -0.078963596458 -1.245679760126 .407999103542
0.34 -0.163368127755 -1.232809061782 .323594572245
0.36 -0.236821259752 -1.219795322988 .250141440248
0.38 -0.301066315067 -1.206675283386 .185896384933
0.40 -0.357501029384 -1.193481412276 .129461670616
0.42 -0.407259361540 -1.180242452856 .079703338460
0.44 -0.451271106416 -1.166983932662 .035691593584
0.46 -0.490306030608 -1.153728614835 -.003343330608
0.48 -0.525007016887 -1.140496879262 -.038044316887
0.50 -0.555915274707 -1.127307032979 -.068952574707
0.52 -0.583489739838 -1.114175555861 -.096527039838
0.54 -0.608122162640 -1.101117291396 -.121159462640
0.56 -0.630148960359 -1.088145593795 -.143186260359
0.58 -0.649860615111 -1.075272442558 -.162897915111
0.60 -0.667509192578 -1.062508534437 -.180546492578
0.62 -0.683314408869 -1.049863360983 -.196351708869
0.64 -0.697468566248 -1.037345277978 -.210505866248
0.66 -0.710140600370 -1.024961571132 -.223177900370
0.68 -0.721479423946 -1.012718520856 -.234516723946
0.70 -0.731616708864 -1.000621467570 -.244654008864
0.72 -0.740669216517 -.988674878032 -.253706516517
0.74 -0.748740761832 -.976882412489 -.261778061832
0.76 -0.755923878005 -.965246992060 -.268961178005
0.78 -0.762301234900 -.953770865513 -.275338534900
0.80 -0.767946853248 -.942455674591 -.280984153248
0.82 -0.772927148437 -.931302517058 -.285964448437
0.84 -0.777301831226 -.920312006780 -.290339131226
0.86 -0.781124687632 -.909484330262 -.294161987632
0.88 -0.784444256258 -.898819299277 -.297481556258
0.90 -0.787304418145 -.888316399315 -.300341718145
0.92 -0.789744911739 -.877974833749 -.302782211739
0.94 -0.791801783469 -.867793563730 -.304839083469
0.96 -0.793507782824 -.857771343908 -.306545082824
0.98 -0.794892709421 -.847906754152 -.307930009421
1.00 -0.795983718476 -.838198227508 -.309021018476
1.02 -0.796805590120 -.828644074658 -.309842890120
1.04 -0.797380967262 -.819242505170 -.310418267262
1.06 -0.797730566022 -.809991645852 -.310767866022
1.08 -0.797873362230 -.800889556504 -.310910662230
1.10 -0.797826756987 -.791934243361 -.310864056987
1.12 -0.797606723911 -.783123670525 -.310644023911
1.14 -0.797227940338 -.774455769639 -.310265240338
1.16 -0.796703904427 -.765928448047 -.309741204427
1.18 -0.796047039921 -.757539595679 -.309084339921
1.20 -0.795268790015 -.749287090840 -.308306090015
1.22 -0.794379701666 -.741168805098 -.307417001666
1.24 -0.793389501465 -.733182607418 -.306426801465
1.26 -0.792307164047 -.725326367681 -.305344464047
1.28 -0.791140973930 -.717597959691 -.304178273930
1.30 -0.789898581506 -.709995263791 -.302935881506
1.32 -0.788587053853 -.702516169130 -.301624353853
1.34 -0.787212920945 -.695158575692 -.300250220945
1.36 -0.785782217745 -.687920396096 -.298819517745
1.38 -0.784300522632 -.680799557236 -.297337822632
1.40 -0.782772992540 -.673794001789 -.295810292540
1.42 -0.781204395135 -.666901689603 -.294241695135
1.44 -0.779599138339 -.660120598992 -.292636438339
1.46 -0.777961297450 -.653448727954 -.290998597450
1.48 -0.776294640086 -.646884095311 -.289331940086
1.50 -0.774602649155 -.640424741774 -.287639949155
1.52 -0.772888544034 -.634068730957 -.285925844034
1.54 -0.771155300101 -.627814150309 -.284192600101
1.56 -0.769405666784 -.621659111986 -.282442966784
1.58 -0.767642184228 -.615601753666 -.280679484228
1.60 -0.765867198708 -.609640239275 -.278904498708
1.62 -0.764082876888 -.603772759668 -.277120176888
1.64 -0.762291219015 -.597997533222 -.275328519015
1.66 -0.760494071127 -.592312806365 -.273531371127
1.68 -0.758693136367 -.586716854040 -.271730436367
1.70 -0.756889985445 -.581207980084 -.269927285445
1.72 -0.755086066340 -.575784517551 -.268123366340
1.74 -0.753282713283 -.570444828960 -.266320013283
1.76 -0.751481155070 -.565187306476 -.264518455070
1.78 -0.749682522771 -.560010372024 -.262719822771
1.80 -0.747887856867 -.554912477348 -.260925156867
1.82 -0.746098113858 -.549892104001 -.259135413858
1.84 -0.744314172383 -.544947763284 -.257351472383
1.86 -0.742536838894 -.540077996127 -.255574138894
1.88 -0.740766852899 -.535281372925 -.253804152899
1.90 -0.739004891826 -.530556493324 -.252042191826
1.92 -0.737251575524 -.525901985962 -.250288875524
1.94 -0.735507470426 -.521316508177 -.248544770426
1.96 -0.733773093411 -.516798745672 -.246810393411
1.98 -0.732048915369 -.512347412151 -.245086215369
2.00 -0.730335364513 -.507961248925 -.243372664513
3.00 -0.661073145242 -.350502821447 -.174110445242
4.00 -0.619051261739 -.264382833841 -.132088561739
5.00 -0.592784997399 -.211657707040 -.105822297399
6.00 -0.575158396458 -.176391864457 -.088195696458
7.00 -0.562559474052 -.151193483736 -.075596774052
8.00 -0.553109894540 -.132294310488 -.066147194540
9.00 -0.545760210757 -.117594942687 -.058797510757
