0.02 24.591896593342 -1.380003128450
0.04 11.364861971122 -1.377606519670
0.06 6.958924875941 -1.373733204518
0.08 4.759221236257 -1.368531639036
0.10 3.442649382744 -1.362160369449
0.12 2.568081623283 -1.354766046843
0.14 1.946400581859 -1.346474172505
0.16 1.483005138429 -1.337389929114
0.18 1.125307152344 -1.327603714337
0.20 0.841726655219 -1.317196850773
0.22 0.612143135140 -1.306245257561
0.24 0.423121595927 -1.294820869032
0.26 0.265342794923 -1.282991577331
0.28 0.132135407866 -1.270820599212
0.30 0.018595549704 -1.258365874222
0.32 -0.078963596458 -1.245679760126
0.34 -0.163368127755 -1.232809061782
0.36 -0.236821259752 -1.219795322988
0.38 -0.301066315067 -1.206675283386
0.40 -0.357501029384 -1.193481412276
0.42 -0.407259361540 -1.180242452856
0.44 -0.451271106416 -1.166983932662
0.46 -0.490306030608 -1.153728614835
0.48 -0.525007016887 -1.140496879262
0.50 -0.555915274707 -1.127307032979
0.52 -0.583489739838 -1.114175555861
0.54 -0.608122162640 -1.101117291396
0.56 -0.630148960359 -1.088145593795
0.58 -0.649860615111 -1.075272442558
0.60 -0.667509192578 -1.062508534437
0.62 -0.683314408869 -1.049863360983
0.64 -0.697468566248 -1.037345277978
0.66 -0.710140600370 -1.024961571132
0.68 -0.721479423946 -1.012718520856
0.70 -0.731616708864 -1.000621467570
0.72 -0.740669216517 -.988674878032
0.74 -0.748740761832 -.976882412489
0.76 -0.755923878005 -.965246992060
0.78 -0.762301234900 -.953770865513
0.80 -0.767946853248 -.942455674591
0.82 -0.772927148437 -.931302517058
0.84 -0.777301831226 -.920312006780
0.86 -0.781124687632 -.909484330262
0.88 -0.784444256258 -.898819299277
0.90 -0.787304418145 -.888316399315
0.92 -0.789744911739 -.877974833749
0.94 -0.791801783469 -.867793563730
0.96 -0.793507782824 -.857771343908
0.98 -0.794892709421 -.847906754152
1.00 -0.795983718476 -.838198227508
1.02 -0.796805590120 -.828644074658
1.04 -0.797380967262 -.819242505170
1.06 -0.797730566022 -.809991645852
1.08 -0.797873362230 -.800889556504
1.10 -0.797826756987 -.791934243361
1.12 -0.797606723911 -.783123670525
1.14 -0.797227940338 -.774455769639
1.16 -0.796703904427 -.765928448047
1.18 -0.796047039921 -.757539595679
1.20 -0.795268790015 -.749287090840
1.22 -0.794379701666 -.741168805098
1.24 -0.793389501465 -.733182607418
1.26 -0.792307164047 -.725326367681
1.28 -0.791140973930 -.717597959691
1.30 -0.789898581506 -.709995263791
1.32 -0.788587053853 -.702516169130
1.34 -0.787212920945 -.695158575692
1.36 -0.785782217745 -.687920396096
1.38 -0.784300522632 -.680799557236
1.40 -0.782772992540 -.673794001789
1.42 -0.781204395135 -.666901689603
1.44 -0.779599138339 -.660120598992
1.46 -0.777961297450 -.653448727954
1.48 -0.776294640086 -.646884095311
1.50 -0.774602649155 -.640424741774
1.52 -0.772888544034 -.634068730957
1.54 -0.771155300101 -.627814150309
1.56 -0.769405666784 -.621659111986
1.58 -0.767642184228 -.615601753666
1.60 -0.765867198708 -.609640239275
1.62 -0.764082876888 -.603772759668
1.64 -0.762291219015 -.597997533222
1.66 -0.760494071127 -.592312806365
1.68 -0.758693136367 -.586716854040
1.70 -0.756889985445 -.581207980084
1.72 -0.755086066340 -.575784517551
1.74 -0.753282713283 -.570444828960
1.76 -0.751481155070 -.565187306476
1.78 -0.749682522771 -.560010372024
1.80 -0.747887856867 -.554912477348
1.82 -0.746098113858 -.549892104001
1.84 -0.744314172383 -.544947763284
1.86 -0.742536838894 -.540077996127
1.88 -0.740766852899 -.535281372925
1.90 -0.739004891826 -.530556493324
1.92 -0.737251575524 -.525901985962
1.94 -0.735507470426 -.521316508177
1.96 -0.733773093411 -.516798745672
1.98 -0.732048915369 -.512347412151
2.00 -0.730335364513 -.507961248925
3.00 -0.661073145242 -.350502821447
4.00 -0.619051261739 -.264382833841
5.00 -0.592784997399 -.211657707040
6.00 -0.575158396458 -.176391864457
7.00 -0.562559474052 -.151193483736
8.00 -0.553109894540 -.132294310488
9.00 -0.545760210757 -.117594942687
10.00 -0.539880463545 -.105835448262
20.00 -0.513421601083 -.052917723338
30.00 -0.504601980263 -.035278481696
40.00 -0.500192169852 -.026458860876
50.00 -0.497546283606 -.021167088383
100.00 -0.492254511114 -.010583543398
200.00 -0.489608624868 -.005291770906
300.00 -0.488726662785 -.003527846742
400.00 -0.488285681744 -.002645884660
500.00 -0.488021093120 -.002116707411
600.00 -0.487844700703 -.001763922578
700.00 -0.487718706120 -.001511933411
800.00 -0.487624210183 -.001322941537
900.00 -0.487550713343 -.001175947856
1000.00 -0.487491915871 -.001058352912
